9.000;0.000;90.000;
9.000;0.000;9145.000;
9.000;0.000;914582.000;
9.000;0.000;2902322.000;
9.000;0.000;0.000;
9.000;0.000;90.000;
9.000;0.000;9158.000;
9.000;0.000;915942.000;
9.000;0.000;3038238.000;
9.000;0.000;90.000;
9.000;0.000;90.000;
9.000;0.000;9161.000;
9.000;0.000;916168.000;
9.000;0.000;3060885.000;
9.000;0.000;0.000;
9.000;0.000;90.000;
9.000;0.000;90.000;
9.000;0.000;9153.000;
9.000;0.000;915376.000;
9.000;0.000;2981603.000;
9.000;0.000;90.000;
9.000;0.000;9162.000;
9.000;0.000;916281.000;
9.000;0.000;3072212.000;
9.000;0.000;0.000;
9.000;0.000;90.000;
9.000;0.000;9156.000;
9.000;0.000;915715.000;
9.000;0.000;3015584.000;
9.000;0.000;0.000;
9.000;0.000;90.000;
9.000;0.000;9158.000;
9.000;0.000;915942.000;
9.000;0.000;3038238.000;
9.000;0.000;0.000;
9.000;0.000;90.000;
9.000;0.000;9148.000;
9.000;0.000;914923.000;
9.000;0.000;2936303.000;
9.000;0.000;0.000;
9.000;0.000;90.000;
9.000;0.000;9154.000;
9.000;0.000;915489.000;
9.000;0.000;2992930.000;
9.000;0.000;0.000;
9.000;0.000;90.000;
9.000;0.000;9150.000;
9.000;0.000;915036.000;
9.000;0.000;2947630.000;
9.000;0.000;0.000;
9.000;0.000;90.000;
9.000;0.000;9153.000;
9.000;0.000;915376.000;
9.000;0.000;2981603.000;
9.000;0.000;90.000;
9.000;0.000;90.000;
9.000;0.000;9158.000;
9.000;0.000;915942.000;
9.000;0.000;3038238.000;
9.000;0.000;0.000;
9.000;0.000;90.000;
9.000;0.000;90.000;
9.000;0.000;9153.000;
9.000;0.000;915376.000;
9.000;0.000;2981603.000;
9.000;0.000;90.000;
9.000;0.000;9151.000;
9.000;0.000;915149.000;
9.000;0.000;2958957.000;
9.000;0.000;0.000;
0
9.000;0.000;90.000;
9.000;0.000;9153.000;
9.000;0.000;915376.000;
9.000;0.000;2981603.000;
9.000;0.000;0.000;
9.000;0.000;90.000;
9.000;0.000;9150.000;
9.000;0.000;915036.000;
9.000;0.000;2947630.000;
9.000;0.000;90.000;
9.000;0.000;90.000;
